
1,Carlo Abate,Country,Championships,Entries,Points
2,George    Abecassis, Italy,0,2,0
3,Kenny Acheson, United Kingdom,0,2,0
4,Andrea de Adamich, United Kingdom,0,10,0
5,Philippe    Adams, Italy,0,36,6
6,Walt Ader, Belgium,0,2,0
7,Kurt Adolff, United States,0,1,0
8,Fred    Agabashian, Germany,0,1,0
9,"Kurt Ahrens,    Jr.", United States,0,9,1.5
10,Christijan Albers, Germany,0,1,0
11,Alexander Albon, Netherlands,0,46,4
12,Michele    Alboreto, Italy,0,215,186.5
13,Jean Alesi, France,0,202,241
14,Jaime Alguersuari, Spain,0,46,31
15,Philippe    Alliot, France,0,116,7
16,Cliff Allison, United Kingdom,0,18,11
17,Giovanna    Amati, Spain,2    (2005â2006),293,"1,849"
18,George Amick, Italy,0,3,0
19,Red Amick, United States,0,2,6
20,Chris Amon, United States,0,2,0
21,Bob Anderson, New Zealand,0,108,83
22,Conny Andersson, United Kingdom,0,29,8
23,Michael    Andretti, Sweden,0,5,0
24,Keith Andrews, United States,1 (1978),131,180
25,Elio de    Angelis, United States,0,13,7
26,Marco    Apicella, United States,0,3,0
27,MÃ¡rio de AraÃºjo Cabral, Italy,0,109,122
28,Frank Armi, Italy,0,1,0
29,Chuck Arnold, Portugal,0,5,0
30,RenÃ© Arnoux, United States,0,3,0
31,Peter    Arundell, United States,0,2,0
32,Peter Ashdown, France,0,164,181
33,Ian Ashley, United Kingdom,0,13,12
34,Gerry Ashmore, Italy,2    (1952â1953),33,107.64    (140.14)
35,Bill Aston, United Kingdom,0,1,0
36,Richard    Attwood, United Kingdom,0,11,0
37,Manny Ayulo, United Kingdom,0,4,0
38,Luca Badoer, United Kingdom,0,3,0
39,Giancarlo Baghetti, United Kingdom,0,17,11
40,Julian Bailey, United States,0,6,2
41,Mauro Baldi, Italy,0,58,0
42,Bobby Ball, Italy,0,21,14
43,Marcel Balsa, United Kingdom,0,20,1
44,Lorenzo    Bandini, Italy,0,41,5
45,Henry Banks, United States,0,2,2
46,Fabrizio Barbazza, France,0,1,0
47,John Barber, Italy,0,42,58
48,Skip Barber, United States,0,5,0
49,Paolo Barilla, Italy,0,20,2
50,Rubens Barrichello, United Kingdom,0,1,0
51,Michael    Bartels, United States,0,6,0
52,Edgar Barth, Italy,0,15,0
53,Giorgio Bassi, Brazil,0,326,658
54,Erwin Bauer, Germany,0,4,0
55,Zsolt Baumgartner, Germany,0,5,0
56,Ãlie Bayol, Italy,0,1,0
57,Don Beauman, Germany,0,1,0
58,Jean Behra, Hungary,0,20,1
59,Derek Bell, France,0,8,2
60,Stefan Bellof, United Kingdom,0,1,0
61,Paul Belmondo, Germany,0,2,0
62,Tom BelsÃ¸, France,0,53,51.14
63,Jean-Pierre Beltoise, United Kingdom,0,16,1
64,Olivier    Beretta, Germany,0,22,4
